t	x	s	Vx   Vy    as
0.03333333333333303	0.0037155410250410414	0	0	0
0.06666666666666651	0.013619540903709329	0.38312387166477835	-0.602655955412702	0
0.1	0.029257132469359695	0.5631390278932774	-0.8515601541386285	7.191934373711588
0.1333333333333335	0.051162142763261295	0.6798066298525035	-0.9934364483636142	6.34050880455676
0.16666666666666652	0.0745775744595265	0.3842757774006505	-0.5516463832432837	2.0042844972459632
0.2	0.07678052792330463	0.47119952297873546	-0.6493247713061694	2.45466564751392
0.23333333333333348	0.10599087599144232	0.7231253805497512	-0.8825796660046314	22.274407809724238
0.2666666666666665	0.12498888662662123	1.3096791343786076	-1.4013738528139827	13.384777890873083
0.3	0.1933028182833494	1.7524344019054825	-1.7304224159841939	6.710068930713437
0.3333333333333335	0.24181784675365398	1.543005830311792	-1.2222595551800144	9.632731098518644
0.36666666666666653	0.2961698736374686	1.7659330050099262	-1.1805297037005564	6.97345266002913
0.4	0.35954671375431557	1.9006164580315676	-0.904856741017985	11.314501449752171
0.433333333333333	0.4228776375062394	1.8957197488968678	-0.427701555722467	14.911993374814065
0.46666666666666695	0.4859280303474406	1.8088303561389047	0.0931803776030131	13.876716928775096
0.5	0.5434663279155004	1.5967759688395566	0.4673252978954151	11.975090181264862
0.533333333333333	0.59237976160341	1.3173902569408622	0.7056544245748417	8.302976730991315
0.5666666666666665	0.631292345044891	1.1227114076376092	0.8015299909261362	5.575741510082777
0.6	0.667227188779251	0.9723487316955018	0.7344589073799144	5.0565391144277445
0.6333333333333335	0.6961155938245913	0.7992300076280456	0.6624721847134958	5.25024804230335
0.6666666666666665	0.7205091892877873	0.6618515325966082	0.5891114567524994	4.865185835278655
0.7	0.7402390293310318	0.5209477820455881	0.49393256384850637	5.119062926858048
0.7333333333333335	0.7552390414241601	0.3875533888250088	0.3847014524619143	5.0489905527618495
0.7666666666666665	0.7660759219193657	0.2692151674887453	0.26922855094217735	5.1005605456610255
0.8	0.7731867192567431	0.1449092261066915	0.15043858610206468	4.987375408072474
0.8333333333333335	0.7757365369931452	0.026538289372908502	0.03517974175990117	4.632349752738237
0.8666666666666665	0.7749559385482704	-0.07225230280736525	-0.06603217029538287	4.482650855288546
0.9	0.7709197168059876	-0.17685769657173533	-0.1795521362266684	4.767987692709064
0.933333333333333	0.7631654254434879	-0.2905900185833824	-0.30139358636222036	4.892164877288662
0.966666666666667	0.7515470489004286	-0.4130040437453316	-0.404077761124517	4.704092581675521
1.0	0.7356318225271324	-0.5374876904786399	-0.4954029186566061	4.281147629991097
1.033333333333333	0.7157145362018528	-0.6460939844522273	-0.5720071317679041	3.980440160623414
1.0666666666666664	0.6925588902303172	-0.7621386289714704	-0.6284656189886789	4.206994593627603
1.1	0.6649052942704211	-0.9044050632984239	-0.683457195103162	5.026899535912467
1.1333333333333335	0.6322652193437552	-1.0684510920477999	-0.7603881152472243	3.4843349686635294
1.1666666666666665	0.5936752214672346	-1.148277227499866	-0.6667793530011036	4.753987499405239
1.1999999999999995	0.5557134041770986	-1.151824890209034	-0.4271563874729104	6.50179463048676
1.2333333333333334	0.5168868954532988	-1.119552746379902	-0.23961150087324756	5.730114487264016
1.2666666666666666	0.4810765544184379	-1.080464030821531	-0.05223421815607434	5.763180861212689
1.3	0.44485596006519657	-0.9819873552020604	0.11519210312472047	5.17683201550894
1.3333333333333335	0.4156107307383004	-0.8619499615643204	0.23416125891580825	4.530762780942121
